"","DISTRICT","BLOCK","HYDROGRAPH.STATION","TYPE.OF.STATION","YEAR","WELL.ID","LATITUDE","LONGITUDE","POSTMONSOON","RFL_TY","TEMP_TY","PCTCROPAREA_LY"
"48185","AGRA","ACHHANERA","ACHHNERA PIEZO","P",2015,2,27.18,77.7577777777778,7.1,0.45464104155631,307.32046814207,0.458892617449664
"48186","AGRA","ACHHANERA","BIYARA","W",2015,3,27.1702777777778,77.7086111111111,6.47,0.460549591778694,307.384738231221,0.834731543624161
"48187","AGRA","ACHHANERA","KETHAM-1","W",2015,4,27.2566666666667,77.8136111111111,4.9,0.475206698202995,307.11579262739,0.693277310924369
"48188","AGRA","ACHHANERA","SADHAN PIEZO","P",2015,5,27.2257777777778,77.7130277777778,9.35,0.460549591778694,307.384738231221,0.776845637583892
"48189","AGRA","ACHHANERA","RAIBHA","D",2015,7,27.1784444444444,77.8060277777778,16.96,0.45464104155631,307.32046814207,0.81203007518797
"48190","AGRA","ACHHANERA","KACHORA","P",2015,8,27.2024444444444,77.7675,6.5,0.45464104155631,307.32046814207,0.874684608915055
"48191","AGRA","ACHHANERA","PURAMANA","P",2015,9,27.1503888888889,77.772,3.55,0.45464104155631,307.32046814207,0.924874791318865
"48192","AGRA","ACHHANERA","KUKTHALA","P",2015,10,27.1918888888889,77.8375277777778,10.6,0.45464104155631,307.32046814207,0.621757322175733
"48193","AGRA","ACHHANERA","MORI","D",2015,12,27.1233333333333,77.7975,11.21,0.437566167529218,307.500424391692,0.938860971524288
"48194","AGRA","ACHHANERA","MAHUYAR","D",2015,13,27.1441666666667,77.8283333333333,13.55,0.437566167529218,307.500424391692,0.815966386554621
"48195","AGRA","AKOLA","AKOLA  PIEZO","P",2015,14,27.0715833333333,77.8856944444444,21.15,0.429602166462962,307.440109384951,0.75752508361204
"48196","AGRA","AKOLA","JAINGARA","P",2015,15,27.0806388888889,77.8085277777778,8.32,0.437566167529218,307.500424391692,0.853801169590643
"48197","AGRA","AKOLA","GAMARI","D",2015,16,27.1038333333333,77.9185,19.45,0.429602166462962,307.440109384951,0.937762825904122
"48198","AGRA","AKOLA","GAHARRA KALAN","P",2015,17,27.0565555555556,77.8553333333333,14.2,0.429602166462962,307.440109384951,0.94776748104465
"48199","AGRA","AKOLA","NAGLA SIKARWAR","D",2015,18,27.1063333333333,77.8601111111111,28.25,0.429602166462962,307.440109384951,0.913807531380753
"48200","AGRA","AKOLA","JARUAKHERA","P",2015,19,27.0905555555556,77.9522222222222,25.25,0.422870042377033,307.416378890495,0.80685618729097
"48201","AGRA","BAH","BATTESHWAR-2","W",2015,20,26.9375,78.5466666666667,7.13,0.414957601772623,307.172152551722,0.301427371956339
"48202","AGRA","BAH","HOLIPURA","W",2015,22,26.9,78.5066666666667,NA,0.414957601772623,307.172152551722,0.724832214765101
"48203","AGRA","BAH","SANNPURA","P",2015,23,26.8336111111111,78.5630555555556,35.67,0.410211252230774,307.164242386903,0.950420168067227
"48204","AGRA","BAH","BAH BDO OFFICE","P",2015,24,26.8768222222222,78.5974438888889,33.38,0.412319657062488,307.144466974857,0.698906644238855
"48205","AGRA","BAH","DAGROO PURA","P",2015,25,26.8555555555556,78.4722222222222,36.72,0.414957601772623,307.172152551722,0.938023450586265
"48206","AGRA","BAH","NARHAULI","P",2015,26,26.8755555555556,78.5552777777778,32.88,0.412319657062488,307.144466974857,0.968040370058873
"48207","AGRA","BAH","FARAIRI","P",2015,27,26.8802777777778,78.525,30.32,0.414957601772623,307.172152551722,0.981543624161074
"48208","AGRA","BAH","FARAIRA","P",2015,28,26.8966666666667,78.53,31.05,0.414957601772623,307.172152551722,0.678151260504202
"48209","AGRA","BAH","PURA HARLAL","P",2015,29,26.8102777777778,78.5222222222222,36.9,0.412817145843005,307.22653493485,0.701342281879195
"48210","AGRA","BAH","PURA BAGHRAJ","P",2015,30,26.7755555555556,78.5411111111111,39.84,0.412817145843005,307.22653493485,0.406381192275398
"48211","AGRA","BAH","CHANGOLI","P",2015,31,26.84,78.5205555555556,34.97,0.412817145843005,307.22653493485,0.890284757118928
"48212","AGRA","BARAULI AHIR","BAMRAULI KATRA","D",2015,32,27.1247222222222,78.1141666666667,37.31,0.424301193574766,307.35013126014,0.784757118927973
"48213","AGRA","BARAULI AHIR","KUNDOL PIEZO","P",2015,33,27.1094444444444,78.1519444444444,NA,0.426967008804818,307.306625353638,0.870042194092827
"48214","AGRA","BARAULI AHIR","BARAULI AHIR BDO OFFICE","D",2015,34,27.1206388888889,78.0595277777778,37.12,0.424301193574766,307.35013126014,0.352148272957034
"48215","AGRA","BARAULI AHIR","DIGNER PZ","D",2015,35,27.0756666666667,78.0889722222222,35.42,0.424301193574766,307.35013126014,0.858340318524728
"48216","AGRA","BARAULI AHIR","ROHTA","P",2015,36,27.1003888888889,78.0076388888889,17.06,0.422870042377033,307.416378890495,0.334172963895885
"48217","AGRA","BARAULI AHIR","KAKUA","D",2015,37,27.0742777777778,77.9860555555556,23.22,0.422870042377033,307.416378890495,0.75943000838223
"48218","AGRA","BARAULI AHIR","SYAMO","P",2015,38,27.1019444444444,78.0941666666667,NA,0.424301193574766,307.35013126014,0.868398994132439
"48219","AGRA","BARAULI AHIR","TANORA NOORPUR","P",2015,39,27.1741666666667,78.175,8.33,0.432295852212931,307.150399598471,0.702861952861953
"48220","AGRA","BARAULI AHIR","KAULAKKHA","P",2015,41,27.1083855555556,78.0069172222222,NA,0.422870042377033,307.416378890495,0.0410729253981559
